batch,filename
batch_05,R41358.txt
batch_05,R43559.txt
batch_06,R43980.txt
batch_06,R45316.txt
batch_06,R45946.txt
batch_06,R45125.txt
batch_06,R44230.txt
batch_06,R45714.txt
batch_06,R44109.txt
batch_06,R44740.txt
batch_06,R44093.txt
batch_06,R44730.txt
batch_06,R44321.txt
batch_06,R44807.txt
batch_06,R44985.txt
batch_06,R44570.txt
batch_06,R45928.txt
batch_06,R44615.txt
batch_06,R45970.txt
batch_06,R45069.txt
batch_06,R45004.txt
batch_06,R45421.txt
batch_06,R44618.txt
batch_06,R45753.txt
batch_06,R45866.txt
batch_06,R44993.txt
batch_06,R45178.txt
batch_06,R44572.txt
batch_06,R45459.txt
batch_06,R43931.txt
batch_06,R44511.txt
batch_06,R45962.txt
batch_06,R44379.txt
batch_06,R45984.txt
batch_06,R44395.txt
batch_06,R45250.txt
batch_06,R43880.txt
batch_06,R43808.txt
batch_06,R44431.txt
batch_06,R43809.txt
batch_06,R44410.txt
batch_06,R44801.txt
batch_06,R45117.txt
batch_06,R44289.txt
batch_06,R44353.txt
batch_06,R44389.txt
batch_06,R43993.txt
batch_06,R44623.txt
batch_06,R44471.txt
batch_06,R44345.txt
batch_06,R45408.txt
batch_06,R44872.txt
batch_07,R46315.txt
batch_07,R47872.txt
batch_07,R47569.txt
batch_07,RL30415.txt
batch_07,R46654.txt
batch_07,R48435.txt
batch_07,R46210.txt
batch_07,R46731.txt
batch_07,R46499.txt
batch_07,R48431.txt
batch_07,R46292.txt
batch_07,R46709.txt
batch_07,R46401.txt
batch_07,RL30726.txt
batch_07,R46483.txt
batch_07,RL31010.txt
batch_07,R48155.txt
batch_07,R46621.txt
batch_07,R46366.txt
batch_07,R46982.txt
batch_07,RL30689.txt
batch_07,R46213.txt
batch_07,R46968.txt
batch_07,RL30243.txt
batch_07,RL30670.txt
batch_07,R46725.txt
batch_07,R46730.txt
batch_07,R48283.txt
batch_07,R46490.txt
batch_07,R46819.txt
batch_07,RL30978.txt
batch_07,RL30306.txt
batch_07,R48060.txt
batch_07,R48320.txt
batch_07,R46397.txt
batch_07,R46558.txt
batch_07,R47061.txt
batch_07,R46437.txt
batch_07,R48380.txt
batch_07,RL30566.txt
batch_07,R46657.txt
batch_07,R46770.txt
batch_07,R46733.txt
batch_07,RL30708.txt
batch_07,RL30938.txt
batch_07,RL30173.txt
batch_07,R47315.txt
batch_07,R47509.txt
batch_07,R48211.txt
batch_07,R47482.txt
batch_08,RL31917.txt
batch_08,RL31175.txt
batch_08,RL32456.txt
batch_08,RL32457.txt
batch_08,RL32761.txt
batch_08,RL31433.txt
batch_08,RL32647.txt
batch_08,RL32785.txt
batch_08,RL31677.txt
batch_08,RL32552.txt
batch_08,RL31181.txt
batch_08,RL31988.txt
batch_08,RL31413.txt
batch_08,RL32868.txt
batch_08,RL31985.txt
batch_08,RL32944.txt
batch_08,RL33174.txt
batch_08,RL31154.txt
batch_08,RL31277.txt
batch_08,RL33085.txt
batch_08,RL33103.txt
batch_08,RL32374.txt
batch_08,RL31334.txt
batch_08,RL31297.txt
batch_08,RL33050.txt
batch_08,RL32618.txt
batch_08,RL32063.txt
batch_08,RL32792.txt
batch_08,RL33148.txt
batch_08,RL33111.txt
batch_08,RL32072.txt
batch_08,RL32800.txt
batch_08,RL33020.txt
batch_08,RL31484.txt
batch_08,RL32830.txt
batch_08,RL33159.txt
batch_08,RL32331.txt
batch_08,RL32112.txt
batch_08,RL31312.txt
batch_08,RL31327.txt
batch_08,RL32301.txt
